Rank,Symbol,Name,Price,24h Change,24h Volume,Market Cap,Chain,Contract Address
1,KOMA,Koma Inu,$0.0066,-7.92%,61.25K,4.00M,BSC,0xd5eaaac47bd1993d661bc087e15dfb079a7f3c19
2,PTB,Portal To Bitcoin,$0.0008,-11.75%,89.61K,4.90M,BSC,0x95c9b514566fbd224dc2037f5914eb8ab91c9201
3,TAKE,OVERTAKE,$0.0208,-15.70%,200.18K,5.76M,BSC,0xe747e54783ba3f77a8e5251a3cba19ebe9c0e197
4,LIGHT,Bitlight Labs,$0.1362,-9.63%,89.65K,5.87M,BSC,0x477c2c0459004e3354ba427fa285d7c053203c0e
5,BULLA,BULLA,$0.0063,-7.95%,102.52K,6.31M,BSC,0x595e21b20e78674f8a64c1566a20b2b316bc3511
6,龙虾,龙虾,$0.0067,-8.22%,325.93K,6.67M,BSC,0xeccbb861c0dda7efd964010085488b69317e4444
7,AVAAI,AVA AI,$0.0071,-10.22%,293.61K,7.11M,Solana,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump
8,FIGHT,FIGHT,$0.0036,-10.66%,660.14K,7.45M,BSC,0xb2d97c4ed2d0ef452654f5cab3da3735b5e6f3ab
9,AKE,AKE,$0.0003,-4.85%,688.50K,7.49M,BSC,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db
10,PUMPBTC,pumpBTC Governance Token,$0.0160,-1.34%,17.57K,7.88M,BSC,0xb7c0007ab75350c582d5eab1862b872b5cf53f0c
11,TRADOOR,Tradoor,$0.5940,-12.44%,1.82M,8.52M,BSC,0x9123400446a56176eb1b6be9ee5cf703e409f492
12,EVAA,EVAA,$0.4785,-14.78%,2.50M,8.54M,BSC,0xaa036928c9c0df07d525b55ea8ee690bb5a628c1
13,我踏马来了,我踏马来了,$0.0087,-9.05%,294.32K,8.70M,BSC,0xc51a9250795c0186a6fb4a7d20a90330651e4444
14,4,4,$0.0099,-7.97%,478.49K,9.93M,BSC,0x0a43fc31a73013089df59194872ecae4cae14444
15,BTR,BTR token,$0.0274,-8.93%,567.68K,10.60M,BSC,0xfed13d0c40790220fbde712987079eda1ed75c51
16,GRIFFAIN,test griffain.com,$0.0107,-9.38%,413.03K,10.65M,Solana,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP
17,CLO,Yei Finance,$0.0850,-26.43%,3.64M,10.97M,BSC,0x81d3a238b02827f62b9f390f947d36d4a5bf89d2
18,AIA,DeAgentAI,$0.0587,5.42%,3.24M,11.09M,BSC,0x53ec33cd4fa46b9eced9ca3f6db626c5ffcd55cc
19,TRUST,Intuition,$0.0650,-7.13%,19.39K,11.68M,Base,0x6cd905df2ed214b22e0d48ff17cd4200c1c6d8a3
20,LYN,Everlyn AI,$0.0491,-4.11%,2.31M,12.55M,BSC,0x302dfaf2cdbe51a18d97186a7384e87cf599877d
21,FHE,Mind Network,$0.0245,-5.54%,363.33K,12.85M,BSC,0xd55c9fb62e176a8eb6968f32958fefdd0962727e
22,BLESS,Bless,$0.0056,-10.70%,613.18K,12.87M,BSC,0x7c8217517ed4711fe2deccdfeffe8d906b9ae11f
23,US,Talus Network,$0.0052,-0.09%,822.26K,14.79M,Sui,0xee962a61432231c2ede6946515beb02290cb516ad087bb06a731e922b2a5f57a::us::US
24,ARIA,AriaAI,$0.0461,-12.12%,454.54K,15.28M,BSC,0x5d3a12c42e5372b2cc3264ab3cdcf660a1555238
25,STBL,STBL,$0.0311,-11.54%,2.40M,15.54M,BSC,0x8dedf84656fa932157e27c060d8613824e7979e3
26,PROMPT,Wayfinder,$0.0325,-7.17%,6.46K,15.79M,Ethereum,0x28d38df637db75533bd3f71426f3410a82041544
27,TA,Trusta.AI,$0.0521,1.38%,187.45K,16.34M,BSC,0x539ae81a166e5e80aed211731563e549c411b140
28,RECALL,Recall,$0.0656,9.63%,948.15K,16.56M,Base,0x1f16e03c1a5908818f47f6ee7bb16690b40d0671
29,BASED,Based,$0.0710,-10.57%,6.20M,16.67M,BSC,0x1d28d989f9e3ccb8b15d0cec601734514f958e4d
30,ON,Orochi Network,$0.1185,-10.21%,896.47K,17.10M,BSC,0x0e4f6209ed984b21edea43ace6e09559ed051d48
31,IN,INFINIT,$0.0566,-8.99%,533.93K,18.24M,BSC,0x61fac5f038515572d6f42d4bcb6b581642753d50
32,WET,Humidifi,$0.0799,-7.86%,95.64K,18.39M,Solana,WETZjtprkDMCcUxPi9PfWnowMRZkiGGHDb9rABuRZ2U
33,BLUAI,Bluwhale,$0.0152,16.32%,433.39K,18.65M,BSC,0xed9ae3def8d6f052971bb8b6d1975ff267cf9aad
34,ACU,Acurast,$0.0870,-10.86%,779.45K,18.88M,BSC,0x6ef2ffb38d64afe18ce782da280b300e358cfeaf
35,GOAT,Goatseus Maximus,$0.0195,-8.78%,347.64K,19.51M,Solana,CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump
36,FOLKS,Folks Finance,$1.3876,-4.21%,1.31M,20.06M,BSC,0xff7f8f301f7a706e3cfd3d2275f5dc0b9ee8009b
37,DOOD,Doodles,$0.0027,-8.02%,114.98K,21.17M,BSC,0x722294f6c97102fb0ddb5b907c8d16bdeab3f6d9
38,INX,Infinex,$0.0107,-8.70%,935.91K,21.28M,BSC,0x45f55b46689402583073ff227b6ac20520052a24
39,CLANKER,tokenbot,$22.1445,-5.79%,785.45K,21.84M,Base,0x1bc0c42215582d5a085795f4badbac3ff36d1bcb
40,POWER,Power Protocol,$0.0783,-4.48%,1.68M,21.90M,BSC,0x9dc44ae5be187eca9e2a67e33f27a4c91cea1223
41,FLOCK,FLock.io,$0.0618,-0.75%,343.15K,22.31M,Base,0x5ab3d4c385b400f3abb49e80de2faf6a88a7b691
42,AIOT,OKZOO,$0.0791,-7.18%,1.67M,23.18M,BSC,0x55ad16bd573b3365f43a9daeb0cc66a73821b4a5
43,XAN,Anoma,$0.0093,-11.62%,875.54K,23.25M,BSC,0x7427bd9542e64d1ac207a540cfce194b7390a07f
44,AIO,OLAXBT,$0.1020,-17.92%,81.76K,23.50M,BSC,0x81a7da4074b8e0ed51bea40f9dcbdf4d9d4832b4
45,XNY,Codatta XNY,$0.0088,-7.08%,971.28K,24.83M,BSC,0xe3225e11cab122f1a126a28997788e5230838ab9
46,IDOL,MEET48 Token,$0.0244,-4.33%,1.95M,25.54M,BSC,0x3b4de3c7855c03bb9f50ea252cd2c9fa1125ab07
47,HANA,Hana Network,$0.0369,1.76%,820.85K,26.28M,BSC,0x6261963ebe9ff014aad10ecc3b0238d4d04e8353
48,AGT,Alaya Governance Token,$0.0105,-8.12%,1.30M,26.90M,BSC,0x5dbde81fce337ff4bcaaee4ca3466c00aecae274
49,ZEREBRO,zerebro,$0.0271,-1.73%,2.59M,27.12M,Solana,8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn
50,ORDER,Orderly Network,$0.0522,-7.54%,23.63K,27.83M,BSC,0x4e200fe2f3efb977d5fd9c430a41531fb04d97b8
51,AIN,Infinity Ground,$0.0826,-11.11%,47.13K,28.30M,BSC,0x9558a9254890b2a8b057a789f413631b9084f4a3
52,XPIN,XPIN Network,$0.0013,-13.88%,1.26M,29.59M,BSC,0xd955c9ba56fb1ab30e34766e252a97ccce3d31a6
53,STAR,Starpower Network,$0.1715,-16.72%,9.13M,31.91M,BSC,0x8fce7206e3043dd360f115afa956ee31b90b787c
54,COLLECT,Collect on Fanable,$0.0618,-3.57%,7.95M,33.17M,BSC,0x4b3d30992f003c8167699735f5ab2831b2a087d3
55,APR,aPriori,$0.1381,-5.84%,528.29K,34.10M,BSC,0x299ad4299da5b2b93fba4c96967b040c7f611099
56,SPACE,Spacecoin,$0.0068,-10.77%,1.25M,34.14M,BSC,0x87acfa3fd7a6e0d48677d070644d76905c2bdc00
57,CARV,CARV,$0.0548,-10.89%,113.25K,34.24M,BSC,0xc08cd26474722ce93f4d0c34d16201461c10aa8c
58,BR,Bedrock,$0.1346,1.45%,43.93K,35.17M,BSC,0xff7d6a96ae471bbcd7713af9cb1feeb16cf56b41
59,TRUTH,Swarm Network,$0.0173,-15.49%,3.42M,36.11M,Sui,0x0a48f85a3905cfa49a652bdb074d9e9fabad27892d54afaa5c9e0adeb7ac3cdf::swarm_network_token::SWARM_NETWORK_TOKEN
60,BIRB,Moonbirds,$0.1278,-3.66%,320.41K,36.44M,Solana,G7vQWurMkMMm2dU3iZpXYFTHT9Biio4F4gZCrwFpKNwG
61,PRL,Perle,$0.1997,-14.95%,929.18K,36.99M,BSC,0xd20fb09a49a8e75fef536a2dbc68222900287bac
